date,listingid,tokenid,breedcount,gender,bloodline,breedtype,energy,total_races,win,lose,speed,strength,wind,water,fire,lighting,canrace,canbreed,priceFloor,price,lastbreedtime,bornUsableBreed,bornUsableRace,minutesToSell
2022-02-16 00:16:47,181215,71873,3,Male,Hoz,Pacer,2,678,162,516,7.36,8.95,4.28,8.39,7.3,,1,1.0,996.0,0.7479919678714859,1643116744,-2348169.0,-2607369.0,10.0
2022-02-16 00:21:31,181214,71880,3,Male,Hoz,Pacer,8,712,156,556,4.5,8.81,6.78,8.59,6.06,,1,1.0,996.0,0.7479919678714859,1643116744,-2348281.0,-2607481.0,14.833333333333334
2022-02-16 00:10:39,181204,142515,2,Male,Hoz,Pacer,3,236,57,179,7.64,5.12,6.17,6.03,1.74,,1,0.0,996.0,0.8383534136546185,1644900862,-530046.0,-789246.0,8.3
2022-02-16 00:08:21,181199,93380,3,Female,Hoz,Pacer,3,524,114,410,0.82,8.35,7.91,3.73,4.59,,1,1.0,996.0,0.7479919678714859,1643633315,-1648562.0,-1907762.0,7.1
2022-02-16 00:13:19,181198,186979,0,Male,Hoz,Pacer,25,0,0,0,0.27,8.26,3.35,4.34,6.44,,0,0.0,996.0,1.1546184738955825,0,333192.0,73992.0,12.366666666666667
2022-02-16 00:21:30,181187,125050,3,Female,Hoz,Pacer,5,298,67,231,3.84,4.09,5.45,5.76,7.43,,1,1.0,996.0,0.7479919678714859,1644849150,-913186.0,-1172386.0,21.766666666666666
2022-02-16 00:10:39,181182,161486,1,Female,Hoz,Pacer,6,112,25,87,2.07,7.5,5.09,4.47,0.87,,1,0.0,996.0,1.0030120481927711,1644934734,-111651.0,-370851.0,12.8
2022-02-16 00:17:52,181177,156608,2,Female,Hoz,Pacer,8,145,38,107,6.07,3.31,7.3,6.69,0.88,,1,0.0,996.0,0.9929718875502008,1644949051,-213665.0,-472865.0,20.2
2022-02-16 00:12:00,181162,186973,0,Female,Hoz,Pacer,25,0,0,0,4.18,7.21,8.14,3.67,0.61,,0,0.0,996.0,1.1546184738955825,0,333119.0,73919.0,22.166666666666668
2022-02-16 00:08:19,181143,186944,0,Male,Hoz,Pacer,25,0,0,0,5.61,2.04,1.99,6.47,3.78,,0,0.0,996.0,1.1596385542168677,0,332936.0,73736.0,22.1
2022-02-16 00:36:31,181290,141627,3,Male,Campona,Pacer,14,205,47,158,2.62,3.97,1.94,1.03,7.63,,1,0.0,989.8461538461538,0.7566832452595587,1644960049,-553241.0,-726041.0,9.4
2022-02-16 00:34:52,181289,135970,3,Male,Hoz,Pacer,2,263,57,206,5.06,4.19,2.09,2.67,7.14,,1,1.0,989.8461538461538,0.7223344731115947,1644806214,-680124.0,-939324.0,8.066666666666666
2022-02-16 00:33:49,181287,68574,3,Female,Hoz,Pacer,1,756,166,590,3.88,3.98,2.8,4.16,4.12,,1,1.0,989.8461538461538,0.7273857631333541,1642717206,-2448822.0,-2708022.0,7.8
2022-02-16 00:36:30,181281,186511,0,Male,Hoz,Pacer,25,0,0,0,8.23,0.9,1.13,6.75,0.5,,0,0.0,989.8461538461538,1.202207025178738,0,321458.0,62258.0,10.766666666666667
2022-02-16 00:30:14,181279,157785,3,Female,Hoz,Pacer,4,142,37,105,8.32,1.02,3.06,8.01,7.93,,1,0.0,989.8461538461538,0.846596207646876,1644967287,-188520.0,-447720.0,5.6
2022-02-16 00:23:54,181278,138306,3,Female,Hoz,Pacer,0,264,69,195,5.09,0.0,8.23,0.55,8.46,,1,1.0,989.8461538461538,0.7506216972334473,1644772874,-630844.0,-890044.0,0.0333333333333333
2022-02-16 00:24:57,181276,165614,0,Female,Hoz,Pacer,2,97,20,77,5.0,7.64,3.31,8.82,0.77,,1,1.0,989.8461538461538,1.202207025178738,0,-19753.0,-278953.0,1.6333333333333333
2022-02-16 00:22:41,181273,52221,3,Male,Hoz,Pacer,25,943,206,737,8.26,2.33,2.92,8.03,4.79,,1,1.0,989.8461538461538,0.7374883431768728,1642496054,-3217681.0,-3476881.0,1.2
2022-02-16 00:27:05,181271,182462,0,Female,Hoz,Pacer,25,0,0,0,2.34,0.95,1.3,0.79,1.71,,0,0.0,989.8461538461538,1.202207025178738,0,264437.0,5237.0,6.0
2022-02-16 00:23:55,181270,109734,3,Female,Hoz,Pacer,1,424,93,331,3.74,4.29,3.25,0.83,0.23,,1,1.0,989.8461538461538,0.7516319552377992,1643976545,-1199393.0,-1458593.0,2.9
2022-02-16 00:34:53,181161,125758,2,Female,Hoz,Pacer,3,340,119,221,8.65,3.58,6.79,8.88,8.34,,1,1.0,989.8461538461538,1.3537457258315202,1644616236,-900164.0,-1159364.0,44.3
2022-02-16 00:22:40,181108,186921,0,Male,Hoz,Pacer,25,0,0,0,0.26,4.85,4.42,3.65,3.31,,0,0.0,989.8461538461538,1.2587814734224434,0,331127.0,71927.0,45.7
2022-02-16 00:51:39,181333,60305,2,Female,Klin,Pacer,0,795,189,606,0.29,0.57,2.73,3.91,2.17,,1,1.0,989.0769230769232,0.743117125524965,1642474852,-2799676.0,-2886076.0,4.333333333333333
2022-02-16 00:51:40,181332,183683,0,Female,Hoz,Pacer,25,0,0,0,5.17,6.87,3.72,6.59,3.18,,0,0.0,989.0769230769232,1.2132524498366777,0,279253.0,20053.0,4.566666666666666
2022-02-16 00:46:53,181326,186910,0,Female,Hoz,Pacer,25,0,0,0,5.87,8.1,6.12,8.97,0.82,,0,0.0,989.0769230769232,1.2031420127547052,0,329542.0,70342.0,3.4
2022-02-16 00:49:03,181321,187100,0,Female,Hoz,Pacer,25,0,0,0,7.34,2.34,4.59,4.77,8.74,,0,0.0,989.0769230769232,1.2011199253383107,0,334097.0,74897.0,7.2
2022-02-16 00:41:03,181320,156039,1,Female,Hoz,Pacer,25,114,33,81,1.46,6.23,6.8,7.27,1.95,,1,0.0,989.0769230769232,0.8492767148856742,1644910296,-224279.0,-483479.0,0.0
2022-02-16 00:42:09,181318,162408,1,Male,Hoz,Pacer,7,97,36,61,1.96,1.87,2.06,6.66,1.83,,1,0.0,989.0769230769232,1.0903704128946958,1644958448,-92243.0,-351443.0,1.0
2022-02-16 00:41:00,181316,162408,1,Male,Hoz,Pacer,7,97,36,61,1.96,1.87,2.06,6.66,1.83,,1,0.0,989.0769230769232,0.9554363042463836,1644958448,-92174.0,-351374.0,0.0
2022-02-16 00:41:06,181315,105657,2,Female,Zan,Pacer,2,361,94,267,8.47,1.79,8.52,4.08,4.11,,1,1.0,989.0769230769232,0.7855809612692487,1644293775,-1311087.0,-1311087.0,1.0333333333333334
2022-02-16 00:41:05,181312,148571,2,Female,Hoz,Pacer,20,181,39,142,6.58,0.33,4.77,8.37,4.77,,1,1.0,989.0769230769232,0.7330066884429927,1644671268,-398974.0,-658174.0,1.4
2022-02-16 00:46:54,181306,157220,2,Female,Hoz,Pacer,3,146,30,116,7.06,0.6,4.7,2.67,4.89,,1,0.0,989.0769230769232,0.7886140923938404,1644970545,-203577.0,-462777.0,8.6
2022-02-16 00:48:00,181305,187090,0,Male,Hoz,Pacer,25,0,0,0,0.41,3.54,0.42,3.78,3.07,,0,0.0,989.0769230769232,1.2132524498366777,0,333974.0,74774.0,10.4
2022-02-16 00:38:55,181285,186862,0,Male,Hoz,Pacer,25,0,0,0,0.19,5.87,1.04,4.03,8.31,,0,0.0,989.0769230769232,1.202130969046508,0,328774.0,69574.0,13.166666666666666
